row,key,label,user,error_type,visual_top1,visual_true_rank,temporal_top1,temporal_true_rank,fused_top1,visual_valid,skeleton_valid,ever_corrected,corrected_by
39,0_Wash_face/user8/1-1-2,0,8,visual_top1_only,0,1,4,2,4,True,True,True,temporal_masked_only;both_masked;prelogit_feature_tcn
40,0_Wash_face/user8/1-1-3,0,8,both_top1_wrong,4,2,4,2,4,True,True,True,temporal_masked_only;both_masked;cross_user_contrast;prelogit_feature_tcn
41,0_Wash_face/user8/7-1-1,0,8,both_top1_wrong,4,2,4,2,4,True,True,True,temporal_masked_only;both_masked
42,0_Wash_face/user8/7-1-2,0,8,both_top1_wrong,4,2,4,2,4,True,True,False,
43,0_Wash_face/user8/7-1-3,0,8,both_top1_wrong,4,2,4,2,4,True,True,False,
51,10_Stir_drinks/user1/4-1-2,10,1,no_primary_input,35,28,36,36,36,False,False,False,
52,10_Stir_drinks/user1/4-1-3,10,1,no_primary_input,35,28,36,36,36,False,False,False,
106,10_Stir_drinks/user23/5-3-1,10,23,no_primary_input,35,13,36,36,36,False,False,False,
129,10_Stir_drinks/user6/1-2-2,10,6,both_top1_wrong,8,2,8,2,8,True,True,False,
457,15_Wipe_windows_and_tables/user6/3-2-3,15,6,no_primary_input,35,11,36,14,36,False,False,False,
459,15_Wipe_windows_and_tables/user6/3-3-2,15,6,no_primary_input,35,11,36,14,36,False,False,False,
466,15_Wipe_windows_and_tables/user7/2-2-3,15,7,visual_top1_only,15,1,20,2,20,True,True,False,
544,17_Tap_the_keyboard/user23/5-3-1,17,23,no_primary_input,35,7,36,18,36,False,False,False,
545,17_Tap_the_keyboard/user23/5-3-2,17,23,visual_top1_only,17,1,26,4,26,True,True,False,
605,18_Write/user22/3-1-3,18,22,no_primary_input,35,5,36,29,36,False,False,False,
634,19_Make_a_phone_call/user18/2-1-1,19,18,temporal_top1_only,24,14,19,1,34,True,True,False,
636,19_Make_a_phone_call/user18/2-1-3,19,18,temporal_top1_only,24,7,19,1,34,True,True,False,
700,1_Brush_teeth/user23/1-2-1,1,23,no_primary_input,35,20,36,34,36,False,False,False,
701,1_Brush_teeth/user23/1-2-2,1,23,no_primary_input,35,20,36,34,36,False,False,False,
702,1_Brush_teeth/user23/1-2-3,1,23,no_primary_input,35,20,36,34,36,False,False,False,
809,20_Check_the_time/user8/6-1-1,20,8,no_primary_input,35,7,36,28,36,False,False,False,
810,20_Check_the_time/user8/6-1-2,20,8,no_primary_input,35,7,36,28,36,False,False,False,
820,21_Read_documents/user1/6-2-3,21,1,visual_top1_only,21,1,22,2,22,True,True,True,temporal_masked_only;both_masked;cross_user_contrast;prelogit_feature_tcn
822,21_Read_documents/user16/4-1-2,21,16,visual_top1_only,21,1,22,2,22,True,True,True,prelogit_feature_tcn
826,21_Read_documents/user16/7-3-3,21,16,visual_top1_only,21,1,22,2,22,True,True,False,
838,21_Read_documents/user19/4-1-3,21,19,visual_top1_only,21,1,26,2,26,True,True,False,
840,21_Read_documents/user2/3-2-3,21,2,visual_top1_only,21,1,22,2,22,True,True,False,
870,21_Read_documents/user5/2-1-1,21,5,no_primary_input,35,23,36,22,36,False,False,False,
871,21_Read_documents/user5/2-1-2,21,5,no_primary_input,35,23,36,22,36,False,False,False,
872,21_Read_documents/user5/2-1-3,21,5,no_primary_input,35,23,36,22,36,False,False,False,
873,21_Read_documents/user5/3-1-1,21,5,no_primary_input,35,23,36,22,36,False,False,False,
