blind_id,row,role,matched_label,key,user
audit_001,2100,matched_correct,36,36_Walk/user7/4-1-3,7
audit_002,914,persistent_both_wrong,22,22_Turn_pages/user18/4-1-3,18
audit_003,85,matched_correct,10,10_Stir_drinks/user19/3-2-3,19
audit_004,1719,persistent_both_wrong,34,34_Sit_down/user6/5-1-2,6
audit_005,2160,persistent_both_wrong,37,37_Take_medicine/user18/7-1-2,18
audit_006,2864,matched_correct,8,8_Take_and_use_tableware/user3/5-1-3,3
audit_007,912,persistent_both_wrong,22,22_Turn_pages/user18/4-1-1,18
audit_008,43,persistent_both_wrong,0,0_Wash_face/user8/7-1-3,8
audit_009,1,matched_correct,0,0_Wash_face/user16/1-1-2,16
audit_010,2212,matched_correct,37,37_Take_medicine/user7/4-1-3,7
audit_011,910,persistent_both_wrong,22,22_Turn_pages/user18/1-2-2,18
audit_012,1661,matched_correct,34,34_Sit_down/user2/4-3-3,2
audit_013,1066,matched_correct,24,24_Use_a_mobile_phone/user24/4-1-3,24
audit_014,2825,persistent_both_wrong,8,8_Take_and_use_tableware/user17/3-2-1,17
audit_015,1040,persistent_both_wrong,24,24_Use_a_mobile_phone/user17/1-2-3,17
audit_016,927,matched_correct,22,22_Turn_pages/user22/4-1-2,22
audit_017,129,persistent_both_wrong,10,10_Stir_drinks/user6/1-2-2,6
audit_018,923,matched_correct,22,22_Turn_pages/user21/2-2-1,21
audit_019,903,matched_correct,22,22_Turn_pages/user16/4-1-1,16
audit_020,1816,persistent_both_wrong,36,36_Walk/user16/3-3-3,16
